"! Wraith can see who got chosen, which makes it harder for good to win with this jinx",Leviathan,Exorcist,Wraith,,
"! Wraith can see who got chosen, which makes it harder for good to win with this jinx",Leviathan,Innkeeper,Wraith,,
"! Wraith can see who got chosen, which makes it harder for good to win with this jinx",Leviathan,Monk,Wraith,,
"! Wraith can see who got chosen, which makes it harder for good to win with this jinx",Riot,Exorcist,Wraith,,
"! Wraith can see who got chosen, which makes it harder for good to win with this jinx",Riot,Innkeeper,Wraith,,
"! Wraith can see who got chosen, which makes it harder for good to win with this jinx",Riot,Monk,Wraith,,
"! If chosen by the Exorcist, the Demon does not pick, preventing this jinx from being used",Leviathan,Banshee,Exorcist,,
"! If chosen by the Exorcist, the Demon does not pick, preventing this jinx from being used",Leviathan,Ravenkeeper,Exorcist,,
"! If chosen by the Exorcist, the Demon does not pick, preventing this jinx from being used",Leviathan,Sage,Exorcist,,
"! If chosen by the Exorcist, the Demon does not pick, preventing this jinx from being used",Leviathan,Farmer,Exorcist,,
"! If chosen by the Exorcist, the Demon does not pick, preventing this jinx from being used",Riot,Banshee,Exorcist,,
"! If chosen by the Exorcist, the Demon does not pick, preventing this jinx from being used",Riot,Ravenkeeper,Exorcist,,
"! If chosen by the Exorcist, the Demon does not pick, preventing this jinx from being used",Riot,Sage,Exorcist,,
"! If chosen by the Exorcist, the Demon does not pick, preventing this jinx from being used",Riot,Farmer,Exorcist,,
! Good killing characters can activate the King jinx without executions,Leviathan,King,Acrobat,,
! Good killing characters can activate the King jinx without executions,Leviathan,King,Banshee,,
! Good killing characters can activate the King jinx without executions,Leviathan,King,Gambler,,
! Good killing characters can activate the King jinx without executions,Leviathan,King,Gossip,,
! Good killing characters can activate the King jinx without executions,Leviathan,King,Lycanthrope,,
! Good killing characters can activate the King jinx without executions,Riot,King,Acrobat,,
! Good killing characters can activate the King jinx without executions,Riot,King,Banshee,,
! Good killing characters can activate the King jinx without executions,Riot,King,Gambler,,
! Good killing characters can activate the King jinx without executions,Riot,King,Gossip,,
! Good killing characters can activate the King jinx without executions,Riot,King,Lycanthrope,,
!! Alchemist-Boomdandy is guaranteed to give evil the win in a Legion game,Alchemist,Boomdandy,Legion,,
? A Drunk Engineer could believe Legion is in-play,Engineer,Drunk,Legion,,
! A protected Tinker can make the Mathematician number arbitrary,Tinker,Mathematician,Tea Lady,,
! A protected Tinker can make the Mathematician number arbitrary,Tinker,Mathematician,Innkeeper,,
! Evil Librarian should not see Damsel,Librarian,Damsel,Bounty Hunter,,
! Evil Librarian should not see Damsel,Librarian,Damsel,Mezepheles,,
"? Zombuul can use the Tinker ability to appear more trustworthy (or in reverse, make the Tinker less trustworthy)",Tinker,Boffin,Zombuul,,
? Lleech can bluff Tinker when they die with the host if a SW is active (or throw shade on a Tinker that dies at the same time as another player this way),Tinker,Lleech,Scarlet Woman,,
? Lleech can bluff Tinker with the host if an Evil Twin is active (or throw shade on a Tinker that dies at the same time as another player this way),Tinker,Lleech,Evil Twin,,
? Outsiders that don't claim after death prevent Heretic from being found out by elimination (Lunatic can believe they're a dead Demon),Heretic,Lunatic,Scarlet Woman,,
? Outsiders that don't claim after death prevent Heretic from being found out by elimination (Lunatic can believe they're a dead Demon),Heretic,Lunatic,Mastermind,,
? Outsiders that don't claim after death prevent Heretic from being found out by elimination (Lunatic can believe they're a dead Demon),Heretic,Lunatic,Evil Twin,,
? Outsiders that don't claim after death prevent Heretic from being found out by elimination (Lunatic can believe they're a dead Demon),Heretic,Lunatic,Zombuul,,
! Legion gaining the Wraith ability doesn't give much useful information to them,Plague Doctor,Wraith,Legion,,
? No Dashii can selectively disable its poison,Boffin,Monk,No Dashii,,
? Vigormortis can selectively disable its poison,Boffin,Monk,Vigormortis,,
? Lleech can selectively disable its poison,Boffin,Monk,Lleech,,
? Vortox can selectively disable its falsification,Boffin,Monk,Vortox,,
"? Al-Hadikhia can force a ""live"" choice",Boffin,Monk,Al-Hadikhia,,
? Good Boffin ability for this Demon,Boffin,Farmer,Imp,,
? Good Boffin ability for this Demon,Boffin,Ravenkeeper,Imp,,
? Good Boffin ability for this Demon,Boffin,Banshee,Imp,,
? Good Boffin ability for this Demon,Boffin,Barber,Imp,,
? Good Boffin ability for this Demon,Boffin,Hatter,Imp,,
? Good Boffin ability for this Demon,Boffin,Moonchild,Imp,,
? Good Boffin ability for this Demon,Boffin,Plague Doctor,Imp,,
? Good Boffin ability for this Demon,Boffin,Sweetheart,Imp,,
? Good Boffin ability for this Demon,Boffin,Farmer,Fang Gu,,
? Good Boffin ability for this Demon,Boffin,Ravenkeeper,Fang Gu,,
? Good Boffin ability for this Demon,Boffin,Banshee,Fang Gu,,
? Good Boffin ability for this Demon,Boffin,Barber,Fang Gu,,
? Good Boffin ability for this Demon,Boffin,Hatter,Fang Gu,,
? Good Boffin ability for this Demon,Boffin,Moonchild,Fang Gu,,
? Good Boffin ability for this Demon,Boffin,Plague Doctor,Fang Gu,,
? Good Boffin ability for this Demon,Boffin,Sweetheart,Fang Gu,,
? Good Boffin ability for this Demon,Boffin,Farmer,Zombuul,,
? Good Boffin ability for this Demon,Boffin,Ravenkeeper,Zombuul,,
? Good Boffin ability for this Demon,Boffin,Banshee,Zombuul,,
? Good Boffin ability for this Demon,Boffin,Barber,Zombuul,,
? Good Boffin ability for this Demon,Boffin,Hatter,Zombuul,,
? Good Boffin ability for this Demon,Boffin,Moonchild,Zombuul,,
? Good Boffin ability for this Demon,Boffin,Plague Doctor,Zombuul,,
? Good Boffin ability for this Demon,Boffin,Sweetheart,Zombuul,,
? Good Boffin ability if this Minion is in-play,Boffin,Farmer,Scarlet Woman,,
? Good Boffin ability if this Minion is in-play,Boffin,Ravenkeeper,Scarlet Woman,,
? Good Boffin ability if this Minion is in-play,Boffin,Banshee,Scarlet Woman,,
? Good Boffin ability if this Minion is in-play,Boffin,Barber,Scarlet Woman,,
? Good Boffin ability if this Minion is in-play,Boffin,Hatter,Scarlet Woman,,
? Good Boffin ability if this Minion is in-play,Boffin,Moonchild,Scarlet Woman,,
? Good Boffin ability if this Minion is in-play,Boffin,Plague Doctor,Scarlet Woman,,
? Good Boffin ability if this Minion is in-play,Boffin,Sweetheart,Scarlet Woman,,
? Good Boffin ability if this Minion is in-play,Boffin,Farmer,Mastermind,,
? Good Boffin ability if this Minion is in-play,Boffin,Ravenkeeper,Mastermind,,
? Good Boffin ability if this Minion is in-play,Boffin,Banshee,Mastermind,,
? Good Boffin ability if this Minion is in-play,Boffin,Barber,Mastermind,,
? Good Boffin ability if this Minion is in-play,Boffin,Hatter,Mastermind,,
? Good Boffin ability if this Minion is in-play,Boffin,Moonchild,Mastermind,,
? Good Boffin ability if this Minion is in-play,Boffin,Plague Doctor,Mastermind,,
? Good Boffin ability if this Minion is in-play,Boffin,Sweetheart,Mastermind,,
? A Mayor that receives Lil Monsta on the final day and doesn't learn of a Marionette always wins if they convince town not to execute (unless droisoned),Mayor,Marionette,Lil' Monsta,,
