,Drunk,Saint,Butler,Recluse,Barber,Sweetheart,Mutant,Klutz,Goon,Moonchild,Tinker,Lunatic,Damsel,Golem,Politician,Puzzlemaster,Snitch,Heretic,Plague Doctor,Hatter,Ogre,Zealot
Tinker,,,,,,,,,,,.,! Bad synergy,! Bad synergy,,,,,,? ST can trigger this ability thanks to the Tinker,? ST can trigger this ability thanks to the Tinker,,
Lunatic,,,,,,,,,,,,.,!! The Demon knows the Lunatic,! Bad synergy,?? Interesting combination,"! Allows anyone that thinks they are the Demon to do a Puzzlemaster guess, which will confirm to the Hermit-Lunatic they are the Hermit (can be bluffed)",,?? Interesting combination,?? Interesting combination,?? Interesting combination,!! Doesn't work,!! Doesn't work
Damsel,,,,,,,,,,,,,.,! Golem is hard to hide. Hermit Golem can control its death,!! Doesn't work,! Will need other reasons to visit the ST to bluff,,?? Interesting combination,! This role's death might telegraph the presence of the Damsel,! This role's death might telegraph the presence of the Damsel,!! Evil Damsel doesn't work,!! Zealot is hard to hide
Golem,,,,,,,,,,,,,,.,! Golem is hard to hide. Hermit Golem can control its death,,,! This ability can telegraph where the Hermit Heretic is,! Golem is hard to hide. Hermit Golem can control its death,! Golem is hard to hide. Hermit Golem can control its death,,
Politician,,,,,,,,,,,,,,,.,,,!! Doesn't work,,,?? Interesting combination,! Zealot is hard to hide
Puzzlemaster,,,,,,,,,,,,,,,,.,,! This ability can telegraph where the Hermit Heretic is,,,,
Snitch,,,,,,,,,,,,,,,,,.,,,,,
Heretic,,,,,,,,,,,,,,,,,,.,,,,! This ability can telegraph where the Hermit Heretic is
Plague Doctor,,,,,,,,,,,,,,,,,,,.,,,! Zealot is hard to hide
Hatter,,,,,,,,,,,,,,,,,,,,.,,! Zealot is hard to hide
Ogre,,,,,,,,,,,,,,,,,,,,,.,
Zealot,,,,,,,,,,,,,,,,,,,,,,.
